organism	chain	region	count
bovine	A	J	62
bovine	A	V	128
bovine	B	D	3
bovine	B	J	18
bovine	B	V	63
bovine_gd	A	D	6
bovine_gd	A	J	3
bovine_gd	A	V	58
bovine_gd	B	J	9
bovine_gd	B	V	143
bovine_ig	A	J	6
bovine_ig	A	V	32
bovine_ig	B	D	21
bovine_ig	B	J	4
bovine_ig	B	V	15
human	A	J	59
human	A	V	60
human	B	D	3
human	B	J	14
human	B	V	63
human_gd	A	D	3
human_gd	A	J	4
human_gd	A	V	5
human_gd	B	J	6
human_gd	B	V	70
human_ig	A	J	13
human_ig	A	V	162
human_ig	B	D	32
human_ig	B	J	14
human_ig	B	V	261
mouse	A	J	11
mouse	A	V	116
mouse	B	D	2
mouse	B	J	13
mouse	B	V	22
mouse_gd	A	D	3
mouse_gd	A	J	2
mouse_gd	A	V	3
mouse_gd	B	J	2
mouse_gd	B	V	120
mouse_ig	A	J	7
mouse_ig	A	V	105
mouse_ig	B	D	34
mouse_ig	B	J	2
mouse_ig	B	V	317
rhesus	A	J	67
rhesus	A	V	68
rhesus	B	D	2
rhesus	B	J	17
rhesus	B	V	100
rhesus_gd	A	D	3
rhesus_gd	A	J	5
rhesus_gd	A	V	8
rhesus_gd	B	J	2
rhesus_gd	B	V	72
rhesus_ig	A	J	12
rhesus_ig	A	V	202
rhesus_ig	B	D	59
rhesus_ig	B	J	11
rhesus_ig	B	V	306
